DPA	STARCH	PROTEIN
8	0.004203399	0.0081354348
8	0.0046821989	0.0083081247
8	0.00514358	0.0081987991
8	0.0043846131	0.0085587374
8	0.0039471508	0.0089688772
8	0.0068348815	0.0082788585
15	0.018557895	0.0290599906
15	0.0188605283	0.0298251732
15	0.0190126808	0.028612678
15	0.0194953345	0.0272886423
15	0.0208111128	0.0253703545
15	0.0165477686	0.0252350654
22	0.0344960036	0.0421235742
22	0.0371441113	0.0455302631
22	0.0393598342	0.0443956893
22	0.0342938633	0.0431906251
22	0.0286488008	0.037310612
22	0.0226827245	0.0408998523
28	0.046390956	0.061918632
28	0.0399025941	0.0627727124
28	0.0328191655	0.0592152016
28	0.0336056735	0.0634461268
28	0.0348547281	0.0654069413
28	0.027597195	0.0637743842
34	0.0243204955	0.1144500989
34	0.0212330577	0.1129369411
34	0.0170804926	0.1015666067
34	0.0210760861	0.1371769322
34	0.0226115389	0.1557035395
34	0.0232097016	0.1487159813
42	0.0182200422	0.1452457019
42	0.0198767115	0.1553540716
42	0.0196975824	0.1512508814
42	0.020093432	0.1950086531
42	0.0184110736	0.2024569814
42	0.0273638475	0.2257973828
50	0.0081655185	0.1485281075
50	0.0082892343	0.1513557336
50	0.0100402664	0.1377864919
50	0.0084378791	0.1789382875
50	0.0089830283	0.2078889127
50	0.0065651366	0.1907197692
52	0.0165605632	0.1781199591
52	0.0173506225	0.1766041412
52	0.0194561205	0.1574448473
52	0.0210676536	0.1533879614
52	0.023300007	0.1172824232
52	0.0176056516	0.1264112792
59	0.005551441	0.1388560397
59	0.0048121978	0.1393366125
59	0.0042056303	0.1254598867
59	0.0047786401	0.148448672
59	0.0049729335	0.1526063005
59	0.0049409923	0.1563397661
