DPA (days)	fruit DW (g)	STARCH (umol/gDW)	PROTEIN (ug/mgDW)
8	0.0328326462	128.024985053286	98.790387507029
8	0.0328326462	142.608027784175	100.887399032085
8	0.0328326462	156.660538979376	99.5598344957393
8	0.0328326462	133.544309643928	103.930644125612
8	0.0328326462	120.220306096394	108.911063656829
8	0.0328326462	208.17333505534	100.532013292532
15	0.2310850546	80.3076385171533	50.1375857652731
15	0.2310850546	81.6172570786803	51.4577653866484
15	0.2310850546	82.2756834594223	49.3658312958435
15	0.2310850546	84.3643243534821	47.0814551067679
15	0.2310850546	90.0582377015611	43.771807835006
15	0.2310850546	71.6089953400115	43.5383917263239
22	0.5458434025	63.1976194151258	30.7678362303322
22	0.5458434025	68.049024860896	33.2561447087885
22	0.5458434025	72.1082896625497	32.4274310511134
22	0.5458434025	62.8272927746769	31.5472298826535
22	0.5458434025	52.4853844594113	27.2523597541375
22	0.5458434025	41.5553698239311	29.874007169614
28	1.1354432112	40.8571344953446	21.7418122635831
28	1.1354432112	35.142747498898	22.0417099688403
28	1.1354432112	28.9042773570209	20.7925426236323
28	1.1354432112	29.5969654197666	22.2781694568453
28	1.1354432112	30.697024542098	22.966680488235
28	1.1354432112	24.3052182348231	22.3934321870679
34	2.7419566832	8.86975920885076	16.6416118771964
34	2.7419566832	7.74376118917321	16.4215912355605
34	2.7419566832	6.22930797324859	14.7682882275244
34	2.7419566832	7.68651314767398	19.9462061358373
34	2.7419566832	8.24649747728718	22.6400667046223
34	2.7419566832	8.4646492434663	21.6240410861438
42	3.9896723577	4.5668016194332	14.5146264821982
42	3.9896723577	4.98204106071806	15.5247714207657
42	3.9896723577	4.93714285714286	15.1147333152223
42	3.9896723577	5.03636144546858	19.4875147692981
42	3.9896723577	4.61468310555296	20.2318376787321
42	3.9896723577	6.85867035359681	22.5642799008799
50	3.4645288324	2.35689149560117	17.0924482620989
50	3.4645288324	2.39260074108384	17.4178482975116
50	3.4645288324	2.89801783944499	15.8563151683746
50	3.4645288324	2.43550552809759	20.5920177152821
50	3.4645288324	2.59285714285714	23.9236232390267
50	3.4645288324	1.89495798319328	21.9478174317812
52	3.8973936634	4.24913793103448	18.2212479742199
52	3.8973936634	4.45185270958777	18.0661834069246
52	3.8973936634	4.99208502024292	16.106233234016
52	3.8973936634	5.40557495448712	15.6912234608951
52	3.8973936634	5.97835605289929	11.9977128157764
52	3.8973936634	4.51728851540616	12.9315730638901
59	3.2880991636	1.68834355828221	16.8368047048654
59	3.2880991636	1.46351966897071	16.895075913956
59	3.2880991636	1.2790460704607	15.2124719653427
59	3.2880991636	1.45331386409418	17.9999465917179
59	3.2880991636	1.51240374384236	18.5040743104987
59	3.2880991636	1.50268955575703	18.9567707344298
